mon,day,hour,min,weather,tem,weekday,dor,teab,cnt
2,3,14,20,1,29,1,99,43,142
2,3,14,30,1,29,1,88,44,132
2,3,14,40,1,29,1,70,43,113
2,3,14,50,1,29,1,66,46,112
2,3,15,0,1,29,1,69,46,115
2,3,15,10,1,30,1,71,44,115
2,3,15,20,1,30,1,81,38,119
2,3,15,30,1,30,1,85,69,154
2,3,15,40,1,30,1,148,150,298
2,3,15,50,1,30,1,151,209,360
2,3,16,0,1,30,1,96,148,244
2,3,16,10,1,30,1,100,131,231
2,3,16,20,1,30,1,73,70,143
2,3,16,30,1,30,1,75,60,135
2,3,16,40,1,31,1,67,52,119
2,3,16,50,1,31,1,66,63,129
2,3,17,0,1,31,1,72,59,131
2,3,17,10,1,31,1,63,62,125
2,3,17,20,1,31,1,79,55,134
2,3,17,30,1,31,1,71,83,154
2,3,17,40,1,31,1,93,224,317
2,3,17,50,1,31,1,97,251,348
2,3,18,0,1,31,1,95,223,318
2,3,18,10,1,31,1,77,158,235
2,3,18,20,1,31,1,90,97,187
2,3,18,30,1,31,1,106,81,187
2,3,18,40,1,31,1,184,77,261
2,3,18,50,1,31,1,183,61,244
2,3,19,0,1,30,1,138,59,197
2,3,19,10,1,30,1,113,65,178
2,3,19,20,1,30,1,96,58,154
2,3,19,30,1,30,1,85,65,150
2,3,19,40,1,30,1,94,61,155
2,3,19,50,1,30,1,75,69,144
2,3,20,0,1,29,1,86,66,152
2,3,20,10,1,29,1,88,59,147
2,3,20,20,1,29,1,74,55,129
2,3,20,30,1,29,1,72,101,173
2,3,20,40,1,29,1,69,203,272
2,3,20,50,1,29,1,48,230,278
2,3,21,0,1,28,1,54,185,239
2,3,21,10,1,28,1,47,134,181
2,3,21,20,1,28,1,33,110,143
2,3,21,30,1,28,1,20,72,92
2,3,21,40,1,28,1,17,81,98
2,3,21,50,1,28,1,19,83,102
2,3,22,0,1,27,1,14,80,94
2,3,22,10,1,27,1,17,81,98
2,3,22,20,1,27,1,16,47,63
2,3,22,30,1,27,1,14,36,50
2,3,22,40,1,27,1,11,22,33
2,3,22,50,1,27,1,11,15,26
2,3,23,0,1,26,1,11,10,21
2,3,23,10,1,26,1,7,13,20
2,3,23,20,1,26,1,4,10,14
2,3,23,30,1,26,1,1,10,11
2,3,23,40,1,26,1,2,9,11
2,3,23,50,1,26,1,2,5,7
2,4,0,0,1,20,0,1,2,3
2,4,0,10,1,20,0,2,2,4
2,4,0,20,1,20,0,1,1,2
2,4,0,30,1,20,0,0,2,2
2,4,0,40,1,20,0,0,2,2
2,4,0,50,1,20,0,1,1,2
2,4,1,0,1,19,0,1,1,2
2,4,1,10,1,19,0,0,0,0
2,4,1,20,1,19,0,1,2,3
2,4,1,30,1,19,0,0,2,2
2,4,1,40,1,19,0,2,0,2
2,4,1,50,1,19,0,2,1,3
2,4,2,0,1,18,0,0,2,2
2,4,2,10,1,18,0,2,2,4
2,4,2,20,1,18,0,1,2,3
2,4,2,30,1,18,0,0,2,2
2,4,2,40,1,18,0,0,0,0
2,4,2,50,1,18,0,2,1,3
2,4,3,0,1,18,0,2,1,3
2,4,3,10,1,18,0,0,0,0
2,4,3,20,1,18,0,0,2,2
2,4,3,30,1,18,0,1,2,3
2,4,3,40,1,18,0,1,1,2
2,4,3,50,1,18,0,2,0,2
2,4,4,0,1,18,0,0,1,1
2,4,4,10,1,18,0,0,1,1
2,4,4,20,1,18,0,2,1,3
2,4,4,30,1,18,0,0,2,2
2,4,4,40,1,18,0,1,0,1
2,4,4,50,1,18,0,2,1,3
2,4,5,0,1,19,0,2,1,3
2,4,5,10,1,19,0,1,1,2
2,4,5,20,1,19,0,2,1,3
2,4,5,30,1,19,0,0,2,2
2,4,5,40,1,19,0,1,0,1
2,4,5,50,1,19,0,2,2,4
2,4,6,0,1,19,0,4,0,4
2,4,6,10,1,19,0,6,1,7
2,4,6,20,1,19,0,5,2,7
2,4,6,30,1,19,0,8,2,10
2,4,6,40,1,19,0,11,0,11
2,4,6,50,1,19,0,8,4,12
2,4,7,0,1,19,0,14,1,15
2,4,7,10,1,19,0,19,2,21
2,4,7,20,1,20,0,42,2,44
2,4,7,30,1,20,0,58,3,61
2,4,7,40,1,20,0,59,2,61
2,4,7,50,1,20,0,49,2,51
2,4,8,0,1,20,0,49,5,54
2,4,8,10,1,20,0,38,3,41
2,4,8,20,1,20,0,32,1,33
2,4,8,30,1,21,0,34,2,36
2,4,8,40,1,21,0,27,3,30
2,4,8,50,1,21,0,31,4,35
2,4,9,0,1,21,0,32,2,34
2,4,9,10,1,21,0,33,4,37
2,4,9,20,1,21,0,36,6,42
2,4,9,30,1,21,0,35,14,49
2,4,9,40,1,21,0,40,17,57
2,4,9,50,1,21,0,35,8,43
2,4,10,0,1,21,0,37,15,52
2,4,10,10,1,21,0,26,11,37
2,4,10,20,1,21,0,23,11,34
2,4,10,30,1,22,0,21,12,33
2,4,10,40,1,22,0,21,16,37
2,4,10,50,1,23,0,21,16,37
2,4,11,0,1,24,0,14,19,33
2,4,11,10,1,24,0,16,19,35
2,4,11,20,1,24,0,14,20,34
2,4,11,30,1,25,0,14,20,34
2,4,11,40,1,25,0,9,27,36
2,4,11,50,1,25,0,10,28,38
2,4,12,0,1,26,0,13,30,43
2,4,12,10,1,26,0,13,29,42
2,4,12,20,1,26,0,14,27,41
2,4,12,30,1,26,0,15,29,44
2,4,12,40,1,27,0,11,33,44
2,4,12,50,1,27,0,11,24,35
2,4,13,0,1,27,0,12,20,32
2,4,13,10,1,28,0,10,20,30
2,4,13,20,1,28,0,17,14,31
2,4,13,30,1,28,0,14,16,30
2,4,13,40,1,29,0,29,16,45
2,4,13,50,1,29,0,24,19,43
2,4,14,0,1,30,0,21,19,40
2,4,14,10,1,30,0,19,19,38
2,4,14,20,1,30,0,16,14,30
2,4,14,30,1,31,0,15,19,34
2,4,14,40,1,31,0,18,14,32
2,4,14,50,1,31,0,15,13,28
2,4,15,0,1,31,0,20,9,29
2,4,15,10,1,31,0,26,12,38
2,4,15,20,1,31,0,23,15,38
2,4,15,30,1,31,0,23,16,39
2,4,15,40,1,31,0,20,21,41
2,4,15,50,1,31,0,31,18,49
2,4,16,0,1,31,0,25,15,40
2,4,16,10,1,31,0,22,18,40
2,4,16,20,1,31,0,24,14,38
2,4,16,30,1,31,0,30,11,41
2,4,16,40,1,31,0,31,9,40
2,4,16,50,1,31,0,34,18,52
2,4,17,0,1,31,0,37,20,57
2,4,17,10,1,31,0,35,19,54
2,4,17,20,1,30,0,42,23,65
2,4,17,30,1,30,0,36,26,62
2,4,17,40,1,30,0,33,28,61
2,4,17,50,1,29,0,36,36,72
2,4,18,0,1,29,0,44,29,73
2,4,18,10,1,29,0,42,31,73
2,4,18,20,1,29,0,40,28,68
2,4,18,30,1,29,0,42,28,70
2,4,18,40,1,28,0,40,23,63
2,4,18,50,1,28,0,37,30,67
2,4,19,0,1,28,0,35,24,59
2,4,19,10,1,27,0,29,23,52
2,4,19,20,1,27,0,24,17,41
2,4,19,30,1,26,0,26,17,43
2,4,19,40,1,26,0,24,18,42
2,4,19,50,1,25,0,23,16,39
2,4,20,0,1,24,0,22,24,46
2,4,20,10,1,24,0,15,18,33
2,4,20,20,1,24,0,15,25,40
2,4,20,30,1,24,0,18,29,47
2,4,20,40,1,24,0,18,33,51
2,4,20,50,1,24,0,13,32,45
2,4,21,0,1,24,0,12,30,42
2,4,21,10,1,24,0,15,28,43
2,4,21,20,1,24,0,9,27,36
2,4,21,30,1,24,0,11,26,37
2,4,21,40,1,24,0,6,42,48
2,4,21,50,1,23,0,10,39,49
2,4,22,0,1,23,0,6,31,37
2,4,22,10,1,23,0,4,29,33
2,4,22,20,1,23,0,2,24,26
2,4,22,30,1,23,0,3,20,23
2,4,22,40,1,23,0,3,11,14
2,4,22,50,1,23,0,4,9,13
2,4,23,0,1,22,0,1,7,8
2,4,23,10,1,22,0,2,4,6
2,4,23,20,1,22,0,2,3,5
2,4,23,30,1,22,0,0,1,1
2,4,23,40,1,22,0,1,2,3
2,4,23,50,1,22,0,1,0,1
2,5,0,0,1,20,0,3,3,6
2,5,0,10,1,20,0,2,0,2
2,5,0,20,1,20,0,0,1,1
2,5,0,30,1,20,0,1,2,3
2,5,0,40,1,20,0,1,0,1
2,5,0,50,1,20,0,2,2,4
2,5,1,0,1,19,0,0,0,0
2,5,1,10,1,19,0,1,0,1
2,5,1,20,1,19,0,1,1,2
2,5,1,30,1,19,0,1,0,1
2,5,1,40,1,19,0,1,1,2
2,5,1,50,1,19,0,2,2,4
2,5,2,0,1,18,0,0,0,0
2,5,2,10,1,18,0,1,2,3
