timestamp,weather_code,t1,is_weekend,is_holiday,cnt
2023/2/2 13:40,1,7,1,0,291
2023/2/2 13:50,1,7,1,0,259
2023/2/2 14:00,1,7,1,0,143
2023/2/2 14:10,1,7,1,0,149
2023/2/2 14:20,1,7,1,0,149
2023/2/2 14:30,1,7,1,0,127
2023/2/2 14:40,1,7,1,0,117
2023/2/2 14:50,1,7,1,0,108
2023/2/2 15:00,1,7,1,0,112
2023/2/2 15:10,1,7,1,0,111
2023/2/2 15:20,1,7,1,0,132
2023/2/2 15:30,1,7,1,0,158
2023/2/2 15:40,1,7,1,0,313
2023/2/2 15:50,1,7,1,0,398
2023/2/2 16:00,1,7,1,0,266
2023/2/2 16:10,1,7,1,0,198
2023/2/2 16:20,1,7,1,0,146
2023/2/2 16:30,1,7,1,0,128
2023/2/2 16:40,1,7,1,0,122
2023/2/2 16:50,1,7,1,0,144
2023/2/2 17:00,1,7,1,0,136
2023/2/2 17:10,1,6,1,0,120
2023/2/2 17:20,1,6,1,0,120
2023/2/2 17:30,1,6,1,0,158
2023/2/2 17:40,1,6,1,0,328
2023/2/2 17:50,1,6,1,0,325
2023/2/2 18:00,1,6,1,0,304
2023/2/2 18:10,1,6,1,0,230
2023/2/2 18:20,1,6,1,0,184
2023/2/2 18:30,1,6,1,0,188
2023/2/2 18:40,1,6,1,0,244
2023/2/2 18:50,1,6,1,0,236
2023/2/2 19:00,1,6,1,0,179
2023/2/2 19:10,1,6,1,0,165
2023/2/2 19:20,1,6,1,0,161
2023/2/2 19:30,1,6,1,0,146
2023/2/2 19:40,1,6,1,0,153
2023/2/2 19:50,1,5,1,0,143
2023/2/2 20:00,1,5,1,0,154
2023/2/2 20:10,1,5,1,0,144
2023/2/2 20:20,1,5,1,0,132
2023/2/2 20:30,1,5,1,0,159
2023/2/2 20:40,1,5,1,0,240
2023/2/2 20:50,1,5,1,0,316
2023/2/2 21:00,1,5,1,0,202
2023/2/2 21:10,1,5,1,0,199
2023/2/2 21:20,1,5,1,0,136
2023/2/2 21:30,1,5,1,0,87
2023/2/2 21:40,1,5,1,0,83
2023/2/2 21:50,1,5,1,0,103
2023/2/2 22:00,1,5,1,0,94
2023/2/2 22:10,1,5,1,0,98
2023/2/2 22:20,1,5,1,0,64
2023/2/2 22:30,1,5,1,0,53
2023/2/2 22:40,1,5,1,0,32
2023/2/2 22:50,1,5,1,0,24
2023/2/2 23:00,1,4,1,0,18
2023/2/2 23:10,1,4,1,0,17
2023/2/2 23:20,1,4,1,0,16
2023/2/2 23:30,1,4,1,0,10
2023/2/2 23:40,1,4,1,0,12
2023/2/2 23:50,1,4,1,0,5
2023/2/3 0:00,1,4,1,0,4
2023/2/3 0:10,1,4,1,0,5
2023/2/3 0:20,1,4,1,0,4
2023/2/3 0:30,1,4,1,0,2
2023/2/3 0:40,1,4,1,0,4
2023/2/3 0:50,1,4,1,0,3
2023/2/3 1:00,1,4,1,0,3
2023/2/3 1:10,1,4,1,0,4
2023/2/3 1:20,1,4,1,0,0
2023/2/3 1:30,1,3,1,0,3
2023/2/3 1:40,1,3,1,0,3
2023/2/3 1:50,1,3,1,0,3
2023/2/3 2:00,1,3,1,0,3
2023/2/3 2:10,1,3,1,0,0
2023/2/3 2:20,1,3,1,0,1
2023/2/3 2:30,1,3,1,0,3
2023/2/3 2:40,1,3,1,0,1
2023/2/3 2:50,1,3,1,0,2
2023/2/3 3:00,1,3,1,0,2
2023/2/3 3:10,1,3,1,0,3
2023/2/3 3:20,1,3,1,0,4
2023/2/3 3:30,1,3,1,0,1
2023/2/3 3:40,1,3,1,0,3
2023/2/3 3:50,1,3,1,0,2
2023/2/3 4:00,1,3,1,0,4
2023/2/3 4:10,1,3,1,0,3
2023/2/3 4:20,1,3,1,0,1
2023/2/3 4:30,1,3,1,0,1
2023/2/3 4:40,1,3,1,0,3
2023/2/3 4:50,1,3,1,0,0
2023/2/3 5:00,1,3,1,0,1
2023/2/3 5:10,1,3,1,0,1
2023/2/3 5:20,1,3,1,0,1
2023/2/3 5:30,1,3,1,0,2
2023/2/3 5:40,1,3,1,0,2
2023/2/3 5:50,1,3,1,0,4
2023/2/3 6:00,1,3,1,0,4
2023/2/3 6:10,1,3,1,0,5
2023/2/3 6:20,1,3,1,0,6
2023/2/3 6:30,1,3,1,0,8
2023/2/3 6:40,1,3,1,0,13
2023/2/3 6:50,1,3,1,0,36
2023/2/3 7:00,1,3,1,0,71
2023/2/3 7:10,1,3,1,0,95
2023/2/3 7:20,1,3,1,0,121
2023/2/3 7:30,1,3,1,0,340
2023/2/3 7:40,1,3,1,0,553
2023/2/3 7:50,1,3,1,0,620
2023/2/3 8:00,1,3,1,0,322
2023/2/3 8:10,1,3,1,0,156
2023/2/3 8:20,1,3,1,0,109
2023/2/3 8:30,1,3,1,0,100
2023/2/3 8:40,1,3,1,0,99
2023/2/3 8:50,1,3,1,0,95
2023/2/3 9:00,1,3,1,0,104
2023/2/3 9:10,1,3,1,0,98
2023/2/3 9:20,1,3,1,0,180
2023/2/3 9:30,1,3,1,0,279
2023/2/3 9:40,1,3,1,0,392
2023/2/3 9:50,1,3,1,0,393
2023/2/3 10:00,1,3,1,0,264
2023/2/3 10:10,1,3,1,0,186
2023/2/3 10:20,1,3,1,0,156
2023/2/3 10:30,1,3,1,0,110
2023/2/3 10:40,1,3,1,0,108
2023/2/3 10:50,1,3,1,0,114
2023/2/3 11:00,1,4,1,0,102
2023/2/3 11:10,1,4,1,0,101
2023/2/3 11:20,1,4,1,0,117
2023/2/3 11:30,1,4,1,0,137
2023/2/3 11:40,1,4,1,0,307
2023/2/3 11:50,1,4,1,0,366
2023/2/3 12:00,1,4,1,0,334
2023/2/3 12:10,1,4,1,0,232
2023/2/3 12:20,1,4,1,0,162
2023/2/3 12:30,1,4,1,0,142
2023/2/3 12:40,1,4,1,0,137
2023/2/3 12:50,1,4,1,0,121
2023/2/3 13:00,1,4,1,0,96
2023/2/3 13:10,1,4,1,0,90
2023/2/3 13:20,1,4,1,0,125
2023/2/3 13:30,1,4,1,0,177
2023/2/3 13:40,1,4,1,0,294
2023/2/3 13:50,1,4,1,0,306
2023/2/3 14:00,1,4,1,0,146
2023/2/3 14:10,1,4,1,0,137
2023/2/3 14:20,1,4,1,0,142
2023/2/3 14:30,1,4,1,0,132
2023/2/3 14:40,1,4,1,0,113
2023/2/3 14:50,1,4,1,0,112
2023/2/3 15:00,1,4,1,0,115
2023/2/3 15:10,1,4,1,0,115
2023/2/3 15:20,1,4,1,0,119
2023/2/3 15:30,1,4,1,0,154
2023/2/3 15:40,1,4,1,0,298
2023/2/3 15:50,1,4,1,0,360
2023/2/3 16:00,1,4,1,0,244
2023/2/3 16:10,1,4,1,0,231
2023/2/3 16:20,1,4,1,0,143
2023/2/3 16:30,1,4,1,0,135
2023/2/3 16:40,1,4,1,0,119
2023/2/3 16:50,1,4,1,0,129
2023/2/3 17:00,1,4,1,0,131
2023/2/3 17:10,1,4,1,0,125
2023/2/3 17:20,1,4,1,0,134
2023/2/3 17:30,1,4,1,0,154
2023/2/3 17:40,1,4,1,0,317
2023/2/3 17:50,1,4,1,0,348
2023/2/3 18:00,1,4,1,0,318
2023/2/3 18:10,1,4,1,0,235
2023/2/3 18:20,1,4,1,0,187
2023/2/3 18:30,1,4,1,0,187
2023/2/3 18:40,1,4,1,0,261
2023/2/3 18:50,1,4,1,0,244
2023/2/3 19:00,1,4,1,0,197
2023/2/3 19:10,1,4,1,0,178
2023/2/3 19:20,1,4,1,0,154
2023/2/3 19:30,1,4,1,0,150
2023/2/3 19:40,1,4,1,0,155
2023/2/3 19:50,1,4,1,0,144
2023/2/3 20:00,1,4,1,0,152
2023/2/3 20:10,1,4,1,0,147
2023/2/3 20:20,1,4,1,0,129
2023/2/3 20:30,1,4,1,0,173
2023/2/3 20:40,1,4,1,0,272
2023/2/3 20:50,1,4,1,0,278
2023/2/3 21:00,1,4,1,0,239
2023/2/3 21:10,1,4,1,0,181
2023/2/3 21:20,1,4,1,0,143
2023/2/3 21:30,1,4,1,0,92
2023/2/3 21:40,1,4,1,0,98
2023/2/3 21:50,1,4,1,0,102
2023/2/3 22:00,1,4,1,0,94
2023/2/3 22:10,1,4,1,0,98
2023/2/3 22:20,1,4,1,0,63
2023/2/3 22:30,1,4,1,0,50
2023/2/3 22:40,1,4,1,0,33
2023/2/3 22:50,1,4,1,0,26
2023/2/3 23:00,1,4,1,0,21
2023/2/3 23:10,1,4,1,0,20
